method,feature,descriptor_mode,superpixel_cell_size,grid_x,grid_y,max_images,num_indexed,query_filename,query_categories,match_rank,match_filename,match_categories,shares_label,distance,index_time_ms,query_time_ms
SIFT_SUPERPIXEL_SPATIAL_128_10000,SIFT,SUPERPIXEL_SPATIAL,128,2,2,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",4,000000018214.jpg,"bicycle|car|horse|motorcycle|person|truck",1,0.198431,1.08794e+06,188.969
SIFT_SUPERPIXEL_SPATIAL_128_10000,SIFT,SUPERPIXEL_SPATIAL,128,2,2,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",5,000000007224.jpg,"bear",0,0.201126,1.08794e+06,188.969
ORB_SUPERPIXEL_SPATIAL_128_10000,ORB,SUPERPIXEL_SPATIAL,128,2,2,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",1,000000021994.jpg,"elephant",0,0.0830632,97264.8,62.7392
ORB_SUPERPIXEL_SPATIAL_128_10000,ORB,SUPERPIXEL_SPATIAL,128,2,2,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",2,000000000034.jpg,"zebra",0,0.0866666,97264.8,62.7392
ORB_SUPERPIXEL_SPATIAL_128_10000,ORB,SUPERPIXEL_SPATIAL,128,2,2,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",3,000000038685.jpg,"stop sign",0,0.0871221,97264.8,62.7392
ORB_SUPERPIXEL_SPATIAL_128_10000,ORB,SUPERPIXEL_SPATIAL,128,2,2,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",4,000000030314.jpg,"sheep",0,0.0874215,97264.8,62.7392
ORB_SUPERPIXEL_SPATIAL_128_10000,ORB,SUPERPIXEL_SPATIAL,128,2,2,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",5,000000048143.jpg,"zebra",0,0.0882552,97264.8,62.7392
SIFT_SUPERPIXEL_SPATIAL_512_10000,SIFT,SUPERPIXEL_SPATIAL,512,1,1,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",1,000000010705.jpg,"bottle|chair|cup|dining table|handbag|person|tv",1,0.0813014,932244,154.286
SIFT_SUPERPIXEL_SPATIAL_512_10000,SIFT,SUPERPIXEL_SPATIAL,512,1,1,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",2,000000009113.jpg,"bowl|chair|couch|dining table|microwave|orange|oven|potted plant|sink|vase",1,0.085374,932244,154.286
SIFT_SUPERPIXEL_SPATIAL_512_10000,SIFT,SUPERPIXEL_SPATIAL,512,1,1,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",3,000000015374.jpg,"book|bottle|cell phone|clock|keyboard|mouse|teddy bear|tv",1,0.0878044,932244,154.286
SIFT_SUPERPIXEL_SPATIAL_512_10000,SIFT,SUPERPIXEL_SPATIAL,512,1,1,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",4,000000017476.jpg,"person|tie",1,0.0881016,932244,154.286
SIFT_SUPERPIXEL_SPATIAL_512_10000,SIFT,SUPERPIXEL_SPATIAL,512,1,1,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",5,000000027789.jpg,"book|couch|person|remote|tv",1,0.0885018,932244,154.286
ORB_SUPERPIXEL_SPATIAL_512_10000,ORB,SUPERPIXEL_SPATIAL,512,1,1,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",1,000000003442.jpg,"bed|book|bottle|chair|couch|cup|tv",1,0.0324469,89613.5,56.4597
ORB_SUPERPIXEL_SPATIAL_512_10000,ORB,SUPERPIXEL_SPATIAL,512,1,1,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",2,000000017604.jpg,"giraffe|zebra",0,0.0329337,89613.5,56.4597
ORB_SUPERPIXEL_SPATIAL_512_10000,ORB,SUPERPIXEL_SPATIAL,512,1,1,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",3,000000022135.jpg,"person|skateboard",1,0.0337844,89613.5,56.4597
ORB_SUPERPIXEL_SPATIAL_512_10000,ORB,SUPERPIXEL_SPATIAL,512,1,1,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",4,000000043966.jpg,"cup|dining table|pizza",1,0.0341096,89613.5,56.4597
ORB_SUPERPIXEL_SPATIAL_512_10000,ORB,SUPERPIXEL_SPATIAL,512,1,1,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",5,000000019528.jpg,"apple|chair|dog|orange",1,0.0345702,89613.5,56.4597
CUSTOM_SDSLIC_SIFT_10000,SIFT,CUSTOM,0,0,0,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",1,000000033718.jpg,"backpack|bench|bus|handbag|person|skateboard|truck",1,0.64787,9.80788e+06,1734.74
CUSTOM_SDSLIC_SIFT_10000,SIFT,CUSTOM,0,0,0,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",2,000000009910.jpg,"backpack|handbag|person|umbrella",1,0.673468,9.80788e+06,1734.74
CUSTOM_SDSLIC_SIFT_10000,SIFT,CUSTOM,0,0,0,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",3,000000028540.jpg,"banana|chair|elephant|handbag|person",1,0.678515,9.80788e+06,1734.74
CUSTOM_SDSLIC_SIFT_10000,SIFT,CUSTOM,0,0,0,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",4,000000011826.jpg,"baseball bat|baseball glove|book|person",1,0.684159,9.80788e+06,1734.74
CUSTOM_SDSLIC_SIFT_10000,SIFT,CUSTOM,0,0,0,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",5,000000024714.jpg,"apple|banana|bottle|bowl|dining table|handbag|orange|person|potted plant",1,0.684798,9.80788e+06,1734.74
